"collection_date","tests","moving_average_tests","cases","moving_average_cases","percent_results_returned_1day"
2020-09-14,2309,1500.57142857143,2,0.428571428571429,0.995236032914682
2020-09-15,2284,1496.28571428571,0,0.428571428571429,0.993870402802102
2020-09-16,1665,1501.14285714286,1,0.571428571428571,0.990990990990991
2020-09-17,2161,1536.42857142857,0,0.428571428571429,1
2020-09-18,2218,1521.14285714286,1,0.571428571428571,0.996393146979261
2020-09-19,3,1520.57142857143,0,0.571428571428571,0
2020-09-20,16,1522.28571428571,0,0.571428571428571,1
2020-09-21,2516,1551.85714285714,1,0.428571428571429,0.992448330683625
2020-09-22,2236,1545,4,1,1
2020-09-23,1569,1531.28571428571,10,2.28571428571429,0.996175908221797
2020-09-24,2360,1559.71428571429,2,2.57142857142857,0.999152542372881
2020-09-25,2485,1597.85714285714,7,3.42857142857143,0.990342052313883
2020-09-26,9,1598.71428571429,1,3.57142857142857,1
2020-09-27,17,1598.85714285714,1,3.71428571428571,0.588235294117647
2020-09-28,3036,1673.14285714286,28,7.57142857142857,0.998682476943347
2020-09-29,2349,1689.28571428571,9,8.28571428571429,1
2020-09-30,1923,1739.85714285714,17,9.28571428571429,1
2020-10-01,2865,1812,13,10.8571428571429,1
2020-10-02,2614,1830.42857142857,10,11.2857142857143,1
2020-10-03,32,1833.71428571429,2,11.4285714285714,0.3125
2020-10-04,25,1834.85714285714,1,11.4285714285714,1
2020-10-05,3217,1860.71428571429,8,8.57142857142857,1
2020-10-06,2610,1898,1,7.42857142857143,1
2020-10-07,1969,1904.57142857143,3,5.42857142857143,1
2020-10-08,2702,1881.28571428571,1,3.71428571428571,1
2020-10-09,2609,1880.57142857143,1,2.42857142857143,1
2020-10-10,37,1881.28571428571,1,2.28571428571429,1
2020-10-11,10,1879.14285714286,0,2.14285714285714,0
2020-10-12,2651,1798.28571428571,5,1.71428571428571,1
2020-10-13,2413,1770.14285714286,7,2.57142857142857,1
2020-10-14,2114,1790.85714285714,0,2.14285714285714,1
2020-10-15,2660,1784.85714285714,0,2,0.999624060150376
2020-10-16,2551,1776.57142857143,1,2,0.990983927871423
2020-10-17,27,1775.14285714286,0,1.85714285714286,1
2020-10-18,10,1775.14285714286,1,2,0
2020-10-19,2840,1802.14285714286,0,1.28571428571429,1
2020-10-20,2393,1799.28571428571,0,0.285714285714286,1
2020-10-21,2011,1784.57142857143,0,0.285714285714286,1
2020-10-22,2486,1759.71428571429,3,0.714285714285714,1
2020-10-23,2630,1771,1,0.714285714285714,0.992015209125475
2020-10-24,9,1768.42857142857,1,0.857142857142857,1
2020-10-25,14,1769,1,0.857142857142857,1
2020-10-26,2934,1782.42857142857,1,1,1
2020-10-27,2473,1793.85714285714,2,1.28571428571429,1
2020-10-28,1501,1721,10,2.71428571428571,0.924050632911392
2020-10-29,2905,1780.85714285714,2,2.57142857142857,0.97487091222031
2020-10-30,2331,1738.14285714286,4,3,0.999570999571
2020-10-31,8,1738,0,2.85714285714286,1
2020-11-01,25,1739.57142857143,4,3.28571428571429,1
2020-11-02,3534,1825.28571428571,6,4,1
2020-11-03,2346,1807.14285714286,7,4.71428571428571,1
2020-11-04,1897,1863.71428571429,14,5.28571428571429,1
2020-11-05,2827,1852.57142857143,20,7.85714285714286,1
2020-11-06,2693,1904.28571428571,17,9.71428571428571,0.999257333828444
2020-11-07,39,1908.71428571429,6,10.5714285714286,0.230769230769231
2020-11-08,143,1925.57142857143,1,10.1428571428571,1
2020-11-09,3036,1854.42857142857,16,11.5714285714286,0.978260869565217
2020-11-10,2691,1903.71428571429,16,12.8571428571429,0.89223337049424
2020-11-11,1718,1878.14285714286,16,13.1428571428571,1
2020-11-12,2688,1858.28571428571,8,11.4285714285714,1
2020-11-13,2633,1849.71428571429,6,9.85714285714286,0.999620205089252
2020-11-14,39,1849.71428571429,2,9.28571428571429,1
2020-11-15,38,1834.71428571429,3,9.57142857142857,1
2020-11-16,3046,1836.14285714286,24,10.7142857142857,0.999671700590939
2020-11-17,2812,1853.42857142857,20,11.2857142857143,0.995376955903272
2020-11-18,2218,1924.85714285714,9,10.2857142857143,0.306582506762849
2020-11-19,2883,1952.71428571429,20,12,0.203607353451266
2020-11-20,3244,2040,12,12.8571428571429,0.846794081381011
2020-11-21,153,2056.28571428571,3,13,0
2020-11-23,2894,2029.14285714286,9,12.1666666666667,0.96371803731859
